cpu型号,【PCYYB】平台-活跃-客户端-技术指标表的总人数
Snapdragon(R) X 12-core X1E80100 @ 3.40 GHz,5875
Snapdragon (TM) 8cx Gen 3 @ 2.69 GHz,5297
Snapdragon (TM) 8cx Gen 3 @ 3.0 GHz,5259
Snapdragon (TM) 8cx Gen 2 @ 3.0 GHz,3795
Snapdragon(R) X - X126100 - Qualcomm(R) Oryon(TM) CPU,1977
Snapdragon(R) X 10-core X1P64100 @ 3.40 GHz,1610
Snapdragon (TM) 850 @ 2.96 GHz,1553
Snapdragon X Plus (8-core) @ 3.30 GHz,1552
Snapdragon(R) X Plus - X1P42100 - Qualcomm(R) Oryon(TM) CPU,1020
Snapdragon(R) X Elite - X1E78100 - Qualcomm(R) Oryon(TM) CPU,978
Snapdragon(R) X Plus - X1P64100 - Qualcomm(R) Oryon(TM) CPU,664
Virtual CPU @ 2.99GHz,616
Virtual CPU @ 3.41GHz,601
Virtual CPU @ 2.68GHz,257
Microsoft SQ1 @ 3.0 GHz,251
Snapdragon(R) X Elite - X1E80100 - Qualcomm(R) Oryon(TM) CPU,225
Virtual CPU @ 3.24GHz,223
Virtual CPU @ 2.95GHz,147
Virtual CPU @ 2.74GHz,136
Microsoft SQ2 @ 3.15 GHz,71
Microsoft SQ3,37
Snapdragon (TM) 8cx @ 2.84 GHz,29
Snapdragon (TM) 7c Gen 2 @ 2.55 GHz,25
Snapdragon (TM) 860 @ 2.96 GHz,22
Virtual CPU @ 2.41GHz,16
Snapdragon (TM) 855 @ 2.84 GHz,13
Snapdragon (TM) 8cx Gen 2 @ 3.15 GHz,10
Snapdragon(R) X Elite - X1E84100 - Qualcomm(R) Oryon(TM) CPU,10
Snapdragon(TM) 7cPlus Gen 3 @ 2.40 GHz,10
Snapdragon (TM) 8cx Next Gen,8
Snapdragon 845,7
Snapdragon (TM) 8c @ 2.46 GHz,7
Virtual CPU @ 3.14GHz,6
Snapdragon (TM) 8cx Next Gen @ 3.40 GHz,5
Virtual CPU @ 2.84GHz,4
Qualcomm(R) QCS6490,4
Snapdragon® X Elite - X1E78100 - Qualcomm® Oryon™ CPU,4
Snapdragon(R) X2 Elite - EG102004 - Qualcomm Oryon(TM) CPU,3
Virtual CPU @ 2.64GHz,3
Snapdragon (TM) X Next Gen,2
Virtual CPU @ 2.70GHz,2
Virtual CPU @ 4.03GHz,2
Snapdragon(TM) X2 Plus - EG301064 - Qualcomm(R) Oryon(TM) CPU @ 4.03 GHz,2
Snapdragon (TM) 8c Gen 3 @ 3.0 GHz,2
Snapdragon (TM) 7c @ 1.96 GHz,2
Snapdragon (TM) 7c,1
Snapdragon(TM) X2 Elite - EG201034 - Qualcomm(R) Oryon(TM) CPU @ 4.72 GHz,1
Snapdragon(R) X2 Elite - XG201032 - Qualcomm Oryon(TM) CPU,1
Virtual CPU @ 2.40GHz,1
Snapdragon(R) X2 Elite - EG201034 - Qualcomm(R) Oryon(TM) CPU @ 4.72 GHz,1
Snapdragon (TM) 7c @ 2.40 GHz,1
Fabrikams WZ4 @ 3.15 GHz,1
Snapdragon(R) X Plus - X1P46100 - Qualcomm(R) Oryon(TM) CPU,1
Snapdragon(R) X2 Elite Extreme - X2E94100 - Qualcomm(R) Oryon(TM) CPU @ 4.72 GHz,1
Unknow ARM Processor Name,1
Snapdragon(R) X2 Elite - EG201034 - Qualcomm Oryon(TM) CPU,1
Snapdragon(TM) 7cPlus Gen 3,1
Dragonwing(TM) - IQX7181 - Qualcomm(R) Oryon(TM) CPU,1
Virtual CPU @ 3.80GHz,1
Snapdragon (TM) 850 @ 2.90 GHz,1
Fabrikams XY9 @ 3.15 GHz,1
Snapdragon(R) X2 Elite - X2E88100 - Qualcomm Oryon(TM) CPU,1
Snapdragon(R) X Elite - X1E001DE - Qualcomm(R) Oryon(TM) CPU,1
